,serial_number,name,area,rating,restaurant_type,votes
0,1,Big Pitcher,Sarjapur Road,4.5,"['American', 'Continental', 'North Indian', 'Mediterranean']",214
1,2,The Big Barbeque,Electronic City,4.8,"['Fast Food', 'North Indian']",5337
2,3,Xochi Bar And Kitchen,Bellandur,4.6,"['North Indian', 'Asian', 'Chinese', 'Bar Food', 'Beverages']",589
3,4,BLR Brewing Co.,Electronic City,4.4,"['Finger Food', 'North Indian', 'Continental', 'Pizza']",488
4,5,Dr. Sheesha 24 Hours Gastro Pub,"The Sahar Pavilion, Electronic City",4.0,"['Chinese', 'North Indian', 'Fast Food', 'Finger Food', 'Italian']",230
5,6,Byg Brewski Brewing Company,Sarjapur Road,4.9,"['Continental', 'North Indian', 'Italian', 'South Indian', 'Finger Food', 'Pizza']",23096
6,7,URU Brewpark,JP Nagar,4.3,"['Finger Food', 'North Indian', 'Continental', 'Pizza', 'Asian', 'Desserts']",1645
7,8,Hoot,Sarjapur Road,4.5,"['Continental', 'Italian', 'North Indian']",11467
8,9,Brahma Brews,JP Nagar,4.9,"['Bar Food', 'Asian', 'Italian', 'North Indian', 'South Indian']",4026
9,10,The Fisherman's Wharf,Sarjapur Road,4.3,"['North Indian', 'Continental', 'Seafood', 'Goan', 'Asian']",4521
10,11,Masala Mandi,Sarjapur Road,4.6,"['North Indian', 'Mughlai']",1109
11,12,AB's - Absolute Barbecues,BTM,4.8,"['European', 'Mediterranean', 'North Indian', 'BBQ']",7750
12,13,Shivaji Military Hotel,Jayanagar,4.2,"['South Indian', 'Biryani']",3410
13,14,The Globe Grub,BTM,4.7,"['Salad', 'North Indian', 'Fast Food', 'Continental']",2441
14,15,Stories - The Brew Chapter,BTM,4.8,"['Bar Food', 'North Indian', 'Continental', 'Chinese', 'Beverages']",3828
15,16,Meghana Foods,Jayanagar,4.5,"['Biryani', 'Andhra', 'North Indian', 'Seafood']",5216
16,17,The Pump House,JP Nagar,4.5,"['Continental', 'Finger Food']",2094
17,18,Sarjapur Social,Sarjapur Road,4.5,"['North Indian', 'Chinese', 'Biryani', 'American', 'Continental']",2598
18,19,TBC Sky Lounge,HSR,4.9,"['Continental', 'Asian', 'Italian', 'North Indian']",15775
19,20,Barbeque Nation,JP Nagar,4.9,"['North Indian', 'European', 'Mediterranean', 'BBQ', 'Kebab']",5695
